,username,description,date,time,following,followers,totaltweets,retweetcount,text,hashtags
54,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,08:00:14,3,8798,19477,0,"Honduras Economic Zone Recognizes  As Legal Tender

Sentiment: Positive

The Honduras Próspera ZEDE special economic zone will make bitcoin legal tender and allow it to be used for payments...

Brief: 
",['Bitcoin']
55,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,07:30:19,3,8798,19477,0,"Peter Thiel Calls 'Enemy No. 1' Warren Buffett A ‘Sociopathic Grandpa' During  2022 Miami

Sentiment: Neutral

Peter Thiel, co-founder of PayPal and Palantir Technologies, did not mince words...

Brief: 
",['Bitcoin']
56,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,07:20:15,3,8798,19477,0,"Bitcoin mines come to rural Georgia communities. They're bringing opportunities — and tensions

Sentiment: Neutral

Residents were intent on one thing: stopping a  mine from opening up shop...

Brief: 
",['Bitcoin']
57,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,04:20:14,3,8798,19477,0,"Bitcoin to be accepted by McDonald's and Walmart via Lightning Network |

Sentiment: Positive

Jack Mallers, founder of Zap, is bringing  back to its roots with an announcement that his Lightning...

Brief: 
",['Bitcoin']
58,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,02:30:13,3,8798,19477,0,"Billionaire Ricardo Salinas Pliego says  is 60% of his portfolio

Sentiment: Negative

Bitcoin is a good place to be investment-wise, according to Mexican billionaire Ricardo Salinas Pliego who...

Brief: 
",['Bitcoin']
59,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,02:20:13,3,8798,19477,0,"Jack Mallers’ Strike Integrating With World’s Largest PoS Providers To Enable Sovereign Payments With Bitcoin

Sentiment: Positive

Brief: 
",[]
60,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,01:50:13,3,8798,19477,0,"Honduran special economic zone adopts  as legal tender

Sentiment: Positive

Register now for FREE unlimited access to Reuters.comTEGUCIGALPA, April 7 - A special economic zone on a...

Brief: 
",['Bitcoin']
61,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,01:40:16,3,8798,19477,0,"Mike Novogratz Doubles Down On $500,000  Prediction

Sentiment: Neutral

Mike Novogratz has once again reiterated his support for the $500,000 future prediction for bitcoin. Pushing Bitcoin To...

Brief: 
",['Bitcoin']
62,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-08,00:30:12,3,8798,19477,0,"As  Market Expands, Demand for Regulatory Guidance Grows

Sentiment: Neutral

MIAMI BEACH, Fla.-Increased regulatory guidance is crucial to the continuing growth of the cryptocurrency sector in...

Brief: 
",['Bitcoin']
63,BrieflyCrypto,"Your #Crypto news feed 📰

Telegram: https://t.co/ThOQOQLho1
Created by @danclarkie in collaboration with @imBagsy

🚨 Articles are not endorsements 🚨",2022-04-07,19:10:11,3,8798,19477,0,"Terra Adds Avalanche to its UST Reserve, Buys $100M in AVAX!

Sentiment: Neutral

Brief: 
",[]
